Owner First ,Customer Number,Last Mane,Number,Street Name,Unit,City,Postal Code,Province,Owner Phone,Alternate Phone,Pet Species,Last Renewal date,Pet Name,Pet Breed,Pet Colour,Pet Sex,Pet is fixed,Tag #,Owner Email,Expiry year,Sold By,Tag Status,Rabies Expiry,Pet Status
Fitzgerald,4417,Vazquez,164,Brampton Street,,A,H1E 6T0,,(224) 243-5099,,dog,11-21-18,Nathan,Shih tzu,Black/tan,Male,Neutered,5151,vestibulum.neque.sed@duinec.edu,10-13-2016,Hedwig,,03.04.09,R
Clare,3197,Walton,8,Brampton Street,,city,J1X 5P8,,673-7848,,D,03-23-95,Zenaida,Tabby,Tri,Fem,Y,7134,Fusce@est.ca,07-03-2013,Veda,,09.07.13,A
Emerald,4117,Miller,France,Brampton Street,,city,X0N 9M1,,(254) 606-4239,1-157-461-0632,D,05-07-94,Oliver,Tabby,Tri,Neutered,S,7274,eu@Loremipsumdolor.ca,02-03-2016,Bradley,,07.27.00,A
Fleur,4519,Silva,72,Fance Place,V,CITY A,V4Y 2Z8,,1-448-437-4140,,Dog,11-15-09,Shelley,Tabby,Orange,F,Spayed,3765,montes.nascetur.ridiculus@habitantmorbi.com,12-02-2018,Aquila,,04.11.94,A
Meghan,9697,Horn,89,Fance Place,,CITY A,A2B 1W5,,819-8807,,Cat,06-18-88,Vivien,Spaniel,Tri,F,Yes,4066,Nulla.semper.tellus@nibh.co.uk,12-21-2008,Clare,,07.02.03,A
Meghan,9697,Horn,89,Fance Place,,CITY A,A2B 1W6,,819-8808,,CAT,09-08-84,Rachel,Spaniel,,F,S,1297,Nulla.semper.tellus@nibh.co.uk,04-22-2012,Jakeem,,08.16.10,A
Quintessa,4893,Bolton,155,Fance Place,,CITY B,S3X 4Z0,ON,1-705-185-3744,1-955-977-7082,Yes,05-23-88,Jelani,Shih tzu,Color,M,No,3950,dolor.quam@CurabiturdictumPhasellus.com,04-05-2001,Janna,,05.14.19,A
Hunter,1229,Mcdowell,14,Real St,A,B,J3G 2E8,,(570) 929-0427,(593) 946-5143,D,2007-12-09,Octavius,Spaniel,Blue,Y,Neutered,2550,amet.risus.Donec@morbitristiquesenectus.edu,01-01-2014,Kirestin,,08.17.09,A
Noelani,2777,Hensley,155,Brampton Street,,city,T8M 9X6,ONTARIO,(629) 506-8699,,D,11-25-02,Adrian,Spaniel,Cream,Dog,Y,8928,aliquam.adipiscing.lacus@luctussitamet.edu,04-26-2007,Owen,,10.04.97,A
Francesca,7248,Figueroa,4,Brampton Street,02-Jan,a,N3Z 1R3,,472-2993,1-470-945-6819,Dog,09-28-93,Fletcher,POOGLE,Blue,Female,S,7939,laoreet.posuere@utaliquamiaculis.ca,12-07-2015,Rylee,,07.25.16,A
Orla,3230,Castaneda,155,Fance Place,V,cit b,J5X 9M7,ON,1-317-553-0572,(163) 271-0899,Dog,01-14-01,Allen,Pom,White,Mal,Neuter,3898,Donec.sollicitudin@Etiamimperdiet.net,02-22-2016,Regan,,03.27.14,A
Holmes,9113,Valentine,74,Real St,,b,T9X 0S3,ONTARIO,498-2068,(951) 145-4716,d,06-21-94,Ariana,Malamute,Tri,Mal,S,2025,gravida@Curabiturvel.org,08-01-2002,Mira,,03.22.09,A
Barry,6254,Webb,126,Fance Place,,A,B6P 2T6,,(843) 437-4966,(308) 237-7766,d,07-26-07,Zachary,Malamute,Blue,Female,No,2322,faucibus.Morbi.vehicula@imperdiet.com,03-28-2004,Dillon,,08.22.10,A
Aladdin,5674,Valentine,91,Real St,,City b,B1A 6H3,CA,1-233-301-2758,,Cat,01-08-94,Maisie,Aust Shepherd,Black/tan,Fem,N,3302,Cras.vulputate.velit@et.com,08-23-2002,Lucian,,07.13.00,Moved
Kylan,4306,Mclean,162,Fance Place,02-Jan,CITY B,R5A 2H4,,1-355-420-8636,(650) 756-6755,Dog,03-31-09,Hedley,Aust Shepherd,Black,Female,Spayed,2810,Sed.molestie.Sed@rutrumlorem.net,08-30-2009,Scarlett,,12.19.17,Active
Ivy,6134,Weiss,8,Real St,,a,A6Z 9S2,ON,525-8217,,Yes,09-28-94,Heidi,Border,No,F,N,5287,Cras.pellentesque.Sed@facilisis.net,11-03-2017,Wayne,,12.25.97,S
Ivy,6134,Weiss,8,Real St,,CITY A,A6Z 9S3,ON,525-8218,,D,04-28-19,Kuame,Border,Tan,Spayed,Spayed,4518,Cras.pellentesque.Sed@facilisis.net,08-25-2013,Unity,,11.26.03,A
David,1559,Ross,120,Real St,,CITY B,K0S 6N7,,1-519-612-5421,(458) 967-3691,no,2004-02-03,Zelda,Maltese,Mix,M,Y,2259,eget.volutpat@ametorciUt.org or eget@test.example.com,09-19-2006,Ramona,,11.04.12,A
Logan,9737,Finley,117,Fance Place,A,City a,N5H 0B5,CA,264-7783,,Dog,2003-08-06,"Camden ""Twilnle""",Cat,White,F,Spayed,6116,inceptos@varius.com,03-14-2016,Quyn,,02.17.92,A
Xena,1913,Cruz,196,Fance Place,,b,G2C 6G4,,793-9115,,Dog,04-21-98,Rashad,Cat,Tan,F,,9773,enim@consectetuer.co.uk,07-22-2011,Noelle,,07.25.16,Removed
Tashya,6837,Rogers,38,Real St,,City b,L7E 7B9,ONTARIO,607-9256,(380) 718-4407,c,08-23-93,Colby,Shih tzu,Color,Male,Y,4054,rutrum@famesac.org,04-22-2001,Brendan,,10.20.94,A
Whoopi,1445,Golden,83,Real St,,City b,R4A 7A2,,481-5273,970-2764,D,09-11-96,Blythe,German Shepherd,Tri,Rabies,Intact,5526,odio.Etiam@utsem.ca,03-16-2003,William,,06.25.15,A
Angela,4908,Ewing,185,Real St,,A,X3Z 7B9,NB,(685) 491-2138,(415) 133-4089,c,11-16-15,Mercedes,Pom,Tri,F,Yes,2853,gravida.sagittis@Donecvitaeerat.com,01-09-2015,Cairo,,10.21.13,A
Wesley,8128,Ratliff,20,Real St,05-Jan,CITY A,V2G 3K2,CA,961-5315,678-1429,CAT,08-07-96,Matthew,Malamute,Blue,Fem,,3168,elit.Etiam.laoreet@vel.net,08-09-2004,Shoshana,,05.02.05,A
Adam,8242,Booth,136,Real St,,sity A,V1X 4S0,,843-7177,830-0301,CAT,09-19-05,Christine,Malamute,Blue,N/A,Spayed,9111,elit@velitCraslorem.co.uk,12-16-2013,Kay,,08.12.16,Active
Brianna,1406,Hutchinson,54,Real St,V,CITY A,G2M 2Y8,,(550) 579-8109,,Cat,08-03-89,Karly,Malamute,Purple,Female,Intact,2675,nisl.Nulla.eu@dignissim.ca,07-24-2019,Drake,,09.06.93,A
Quentin,8855,Cooke,86,Brampton Street,,cit b,L8H 6L4,Ontario,615-5821,612-3201,CAT,05-14-84,Porter,Shih tzu,,Neutered,Y,9780,tristique.aliquet@urna.edu,10-26-2017,Jade,,04.17.18,A
Cathleen,7007,Watts,125,Real St,,City b,J2B 4X0,NB,496-2180,(628) 291-7260,Yes,06-18-01,Amber,Malamute,Tri,Neutered,N,3655,rutrum.non@justoPraesentluctus.com,07-17-2009,Upton,,07.27.14,Active
Guy,6998,Duke,157,Real St,A,city,P6C 5B6,,1-979-182-6734,1-871-733-2072,Dog,2012-05-16,Martina,Maltese,Cat,F,No,8568,magna.Cras.convallis@AeneanmassaInteger.org;,03-03-2017,Odette,,01.15.01,Removed
Gail,7009,Walter,180,Brampton Street,,A,R6P 3X7,,(598) 765-2194,(868) 974-4644,CAT,10-09-90,Dolan,Malamute,Black/tan,Male,Yes,3693,Etiam@sedpedenec.net,09-22-2003,Hiram,,08.13.10,A
Gail,7009,Walter,180,Brampton Street,,A,R6P 3X8,,"(598) ""765-2195",(868) 97\4-4645,Cat,02-09-89,Rhona,Shih tzu,Black/tan,Male,Spayed,5677,Etiam@sedpedenec.net,04-05-2007,Quinn,,11.26.09,Removed
Gail,7009,Walter,180,Brampton Street,,A,R6P 3X9,,(598) 765-2196,(868) 974-4646,,2005-12-17,"Reece ""Banana""",Shih tzu,Cat,Fem,Spayed,5342,Etiam@sedpedenec.net,09-26-2000,Arthur,,12.30.07,Active
Ulla,5187,Hicks,120,Real St,02-Jan,B,B5Y 4A1,ONTARIO,1-808-776-2445,710-2671,Cat,06-10-91,Reece,Shih tzu,No,No,Yes,8160,per@arcuVestibulum.com,10-26-2004,Ramona,D,12.14.93,A
Bo,3269,Marshall,64,Real St,05-Jan,City a,V8V 9V2,CA,213-3181,,z,11-25-10,Lyle,Shih tzu,Purple,Female,No,4936,In.condimentum.Donec@famesacturpis.co.uk,05-28-2003,Maya,,04.22.17,A
Quemby,7248,Gill,162,Real St,,CITY A,C1X 0P7,Ontario,164-6312,701-6110,Dog,07-19-14,Karen,Shih tzu,,Y,Yes,4232,consequat@purusmauris.co.uk,01-21-2016,George,,03.02.98,S
Amela,7672,Malone,72,Fance Place,,CITY B,J4J 6V8,NB,(587) 352-2859,610-4369,Cat,12-14-83,Hope,Shih tzu,Tan,M,Neutered,5346,egestas.Duis.ac@loremDonecelementum.com; test@bademail.com,05-03-2016,Jeremy,,01.08.12,A
Inga,9349,Torres,96,Fance Place,02-Jan,City b,L2N 4Z6,QC,563-4169,1-577-572-5054,Yes,05-26-00,Axel,Spaniel,Black,F,Neutered,3017,dui@scelerisquescelerisquedui.com,03-31-2007,Dustin,,07.11.00,A
