,First_Name,Customer_Number,Last_Name,Street_Number,Street_Name,Unit,City,Postal_Code,Province,Owner_Phone,Alternate_Phone,Pet_Species,Last_Renewal_date,Pet_Name,Pet_Breed,Pet_Colour,Pet_Sex,Pet_is_fixed,Tag_#,Owner_Email,Expiry_year,Sold_By,Tag_Status,Rabies_Expiry,Pet_Status
6,Quintessa,4893,Bolton,155,Fance Place,,B,S3X 4Z0,ON,17051853744,19559777082,,1988-05-23,Jelani,Shih tzu,,M,NO,3950,dolor.quam@CurabiturdictumPhasellus.com,2001-04-05,Janna,,2019-05-14,ACTIVE
15,Ivy,6134,Weiss,8,Real St,,A,A6Z 9S2,ON,5258217,,,1994-09-28,Heidi,Border,,F,NO,5287,Cras.pellentesque.Sed@facilisis.net,2017-11-03,Wayne,,1997-12-25,
16,Ivy,6134,Weiss,8,Real St,,A,A6Z 9S3,ON,5258218,,DOG,2019-04-28,Kuame,Border,TAN,,YES,4518,Cras.pellentesque.Sed@facilisis.net,2013-08-25,Unity,,2003-11-26,ACTIVE
27,Cathleen,7007,Watts,125,Real St,,B,J2B 4X0,NB,4962180,6282917260,,2001-06-18,Amber,Malamute,TRI,,NO,3655,rutrum.non@justoPraesentluctus.com,2009-07-17,Upton,,2014-07-27,ACTIVE
36,Inga,9349,Torres,96,Fance Place,02-Jan,B,L2N 4Z6,QC,5634169,15775725054,,2000-05-26,Axel,Spaniel,BLACK,F,YES,3017,dui@scelerisquescelerisquedui.com,2007-03-31,Dustin,,2000-07-11,ACTIVE
53,Azalia,5139,Abbott,178,Real St,A,B,P7L 8N8,QC,4080955,7225203,CAT,2003-07-24,Logan,Shih tzu,,M,NO,1742,pharetra@enim.ca,2001-11-01,Connor,,2011-03-08,ACTIVE
57,Eleanor,1099,Harris,169,Brampton Street,05-Jan,A,A9Y 5N3,NB,9369041,11503249185,CAT,2006-10-14,Ora,Yorkie,,,YES,9253,Integer.id.magna@tinciduntneque.co.uk,2001-07-04,Ronan,,2010-02-14,ACTIVE
60,Mufutau,4077,Miller,18,Real St,,A,N2P 7K0,ON,14776899333,7510396,DOG,1991-11-10,Hyacinth,German Shepherd,,F,YES,5368,nec.quam.Curabitur@ornareplaceratorci.com,2008-08-16,Dane,,2006-10-11,
62,Leslie,8741,Ramos,99,Brampton Street,,,E0A 9K5,NB,18583198706,,DOG,2003-02-26,Tyler,German Shepherd,,F,NO,5446,vulputate@ipsumPhasellusvitae.co.uk,2005-11-01,Darius,Yes,2000-12-03,
71,Beau,1042,Allen,23,Real St,,A,C0G 0V8,QC,19398084397,,DOG,1993-08-31,Rhea,Mix,,F,NO,2658,"velit.eu@blandit.com; ""Testbad:""@eg/com",2013-10-06,Kennan,,1999-02-28,ACTIVE
